radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
----------------------------------------------------------------------
	0.0	|	1.0	|	0.0	|	0.0
	0.2617993877991494	|	0.966	|	0.259	|	0.268
	0.5235987755982988	|	0.866	|	0.5	|	0.577
	0.7853981633974483	|	0.707	|	0.707	|	1.0
	1.0471975511965976	|	0.5	|	0.866	|	1.732
	1.308996938995747	|	0.259	|	0.966	|	3.732
	1.5707963267948963	|	0.0	|	1.0	|	 UN 
	1.8325957145940457	|	-0.259	|	0.966	|	-3.732
	2.0943951023931953	|	-0.5	|	0.866	|	-1.732
	2.356194490192345	|	-0.707	|	0.707	|	-1.0
	2.6179938779914944	|	-0.866	|	0.5	|	-0.577
	2.879793265790644	|	-0.966	|	0.259	|	-0.268
	3.1415926535897936	|	-1.0	|	0.0	|	0.0
	3.403392041388943	|	-0.966	|	-0.259	|	0.268
	3.6651914291880927	|	-0.866	|	-0.5	|	0.577
	3.9269908169872423	|	-0.707	|	-0.707	|	1.0
	4.188790204786391	|	-0.5	|	-0.866	|	1.732
	4.4505895925855405	|	-0.259	|	-0.966	|	3.732
	4.71238898038469	|	0.0	|	-1.0	|	 UN 
	4.974188368183839	|	0.259	|	-0.966	|	-3.732
	5.235987755982988	|	0.5	|	-0.866	|	-1.732
	5.497787143782137	|	0.707	|	-0.707	|	-1.0
	5.759586531581286	|	0.866	|	-0.5	|	-0.577
	6.021385919380435	|	0.966	|	-0.259	|	-0.268
	6.2831853071795845	|	1.0	|	0.0	|	0.0
